SessionID,Username,AccountName,SafeName,Platform,ConnectionComponent,Duration,LogonTime,LogoffTime,Status,ClientIP,ServerIP,Protocol,Application,Activity
SEL-1234567,john.doe,root,Infrastructure,Unix,PSM-SSH,45,2024-03-27T09:15:30,2024-03-27T10:00:30,Terminated,192.168.1.10,10.0.0.5,SSH,Terminal,High
SEL-1234568,jane.smith,sa,Databases,SQL Server,PSM-MSSQL,78,2024-03-27T10:30:45,2024-03-27T11:48:45,Terminated,192.168.1.11,10.0.0.6,MSSQL,SQL Management Studio,Medium
SEL-1234569,admin.user,admin,Infrastructure,Windows Server,PSM-RDP,120,2024-03-27T11:00:12,2024-03-27T13:00:12,Terminated,192.168.1.12,10.0.0.7,RDP,Remote Desktop,High
SEL-1234570,david.miller,oracle_admin,Databases,Oracle,PSM-Oracle,65,2024-03-27T13:45:33,2024-03-27T14:50:33,Terminated,192.168.1.13,10.0.0.8,Oracle,SQL Developer,Medium
SEL-1234571,sarah.williams,network_admin,Network,Cisco IOS,PSM-SSH,30,2024-03-27T14:20:18,2024-03-27T14:50:18,Terminated,192.168.1.14,10.0.0.9,SSH,Terminal,Medium
SEL-1234572,mike.brown,vmware_admin,Infrastructure,VMware,PSM-RDP,90,2024-03-27T15:10:25,2024-03-27T16:40:25,Terminated,192.168.1.15,10.0.0.10,RDP,vSphere Client,Medium
SEL-1234573,emma.wilson,ad_admin,Active Directory,Windows Server,PSM-RDP,55,2024-03-27T16:05:40,2024-03-27T17:00:40,Terminated,192.168.1.16,10.0.0.11,RDP,Active Directory Users and Computers,High
SEL-1234574,peter.clark,azure_admin,Cloud,Azure,PSM-WebSSO,85,2024-03-27T16:45:22,2024-03-27T18:10:22,Terminated,192.168.1.17,NA,HTTPS,Azure Portal,Low
SEL-1234575,john.doe,root,Infrastructure,Unix,PSM-SSH,25,2024-03-28T08:30:15,2024-03-28T08:55:15,Terminated,192.168.1.10,10.0.0.5,SSH,Terminal,Medium
SEL-1234576,olivia.martin,jenkins_service,Development,Linux,PSM-SSH,40,2024-03-28T09:15:50,2024-03-28T09:55:50,Terminated,192.168.1.18,10.0.0.12,SSH,Terminal,Low
SEL-1234577,james.white,splunk_admin,Monitoring,Linux,PSM-SSH,70,2024-03-28T10:10:30,2024-03-28T11:20:30,Terminated,192.168.1.19,10.0.0.13,SSH,Terminal,Medium
SEL-1234578,admin.user,admin,Infrastructure,Windows Server,PSM-RDP,95,2024-03-28T10:45:12,2024-03-28T12:20:12,Terminated,192.168.1.12,10.0.0.7,RDP,Remote Desktop,High
SEL-1234579,jane.smith,sa,Databases,SQL Server,PSM-MSSQL,60,2024-03-28T11:30:45,2024-03-28T12:30:45,Terminated,192.168.1.11,10.0.0.6,MSSQL,SQL Management Studio,Medium
SEL-1234580,sophie.adams,exchange_admin,Applications,Windows Server,PSM-RDP,80,2024-03-28T13:15:20,2024-03-28T14:35:20,Terminated,192.168.1.20,10.0.0.14,RDP,Exchange Admin Center,Medium
SEL-1234581,ryan.lewis,aws_admin,Cloud,AWS,PSM-WebSSO,50,2024-03-28T14:25:10,2024-03-28T15:15:10,Terminated,192.168.1.21,NA,HTTPS,AWS Console,Low
SEL-1234582,lisa.taylor,firewall_admin,Network,Palo Alto,PSM-SSH,65,2024-03-28T15:10:35,2024-03-28T16:15:35,Terminated,192.168.1.22,10.0.0.15,SSH,Terminal,Medium
SEL-1234583,john.doe,root,Infrastructure,Unix,PSM-SSH,45,2024-03-28T15:45:18,2024-03-28T16:30:18,Terminated,192.168.1.10,10.0.0.5,SSH,Terminal,High
SEL-1234584,david.miller,oracle_admin,Databases,Oracle,PSM-Oracle,75,2024-03-28T16:20:42,2024-03-28T17:35:42,Terminated,192.168.1.13,10.0.0.8,Oracle,SQL Developer,Medium
SEL-1234585,admin.user,admin,Infrastructure,Windows Server,PSM-RDP,35,2024-03-28T16:55:30,2024-03-28T17:30:30,Terminated,192.168.1.12,10.0.0.7,RDP,Remote Desktop,High
SEL-1234586,jane.smith,sa,Databases,SQL Server,PSM-MSSQL,115,2024-03-28T09:05:15,2024-03-28T11:00:15,Terminated,192.168.1.11,10.0.0.6,MSSQL,SQL Management Studio,High
SEL-1234587,admin.user,local_admin,Endpoints,Windows 10,PSM-RDP,20,2024-03-28T12:30:55,2024-03-28T12:50:55,Terminated,192.168.1.12,10.0.0.16,RDP,Remote Desktop,Low
SEL-1234588,john.doe,emergency_account,Break Glass,Windows Server,PSM-RDP,15,2024-03-28T13:45:10,2024-03-28T14:00:10,Terminated,192.168.1.10,10.0.0.17,RDP,Remote Desktop,High
SEL-1234589,ryan.lewis,gcp_admin,Cloud,GCP,PSM-WebSSO,55,2024-03-28T14:20:25,2024-03-28T15:15:25,Terminated,192.168.1.21,NA,HTTPS,GCP Console,Low
SEL-1234590,admin.user,admin,Infrastructure,Windows Server,PSM-RDP,NA,2024-03-28T17:30:45,NA,Active,192.168.1.12,10.0.0.7,RDP,Remote Desktop,Medium
SEL-1234591,john.doe,root,Infrastructure,Unix,PSM-SSH,NA,2024-03-28T17:45:20,NA,Active,192.168.1.10,10.0.0.5,SSH,Terminal,Medium 
