AccountID,AccountName,SafeName,Platform,LastPasswordChange,RiskLevel,RiskScore,RiskFactors,ComplianceStatus,LastUsed,IsPrivileged,PasswordAge,PasswordStrength,PolicyViolations,RecommendedActions
ACC-001,svc_webadmin,Web-Servers,WinServerLocal,2023-03-15,High,85,"Password not changed for 340 days,Privileged account,Multiple failed login attempts",Non-Compliant,2023-04-25,Yes,340,Medium,3,"Rotate password immediately,Enable MFA,Review access rights"
ACC-002,dbadmin,DB-Servers,OracleServer,2023-10-12,Medium,65,"Privileged account,Excessive permissions",Compliant,2023-12-01,Yes,80,High,1,"Schedule regular access review,Monitor usage patterns"
ACC-003,app_service,Applications,UnixSSH,2023-11-20,Low,25,"Regular usage patterns",Compliant,2023-12-05,No,42,High,0,"Continue monitoring"
ACC-004,backup_svc,Backup-Systems,WinServerLocal,2022-08-30,Critical,95,"Password never changed,Dormant account,Privileged access",Non-Compliant,2022-09-15,Yes,480,Low,4,"Disable account,Investigate last usage,Create new compliant account"
ACC-005,network_admin,Network-Devices,CiscoDevice,2023-09-05,High,75,"Shared account,High access rights,Inconsistent usage patterns",Non-Compliant,2023-11-28,Yes,115,Medium,2,"Implement individual accounts,Enable session recording"
ACC-006,helpdesk,Support-Team,ADAccounts,2023-12-01,Medium,45,"Group account,Regular usage",Compliant,2023-12-10,No,17,High,0,"Monitor usage"
ACC-007,unix_root,Unix-Servers,UnixSSH,2023-07-18,High,80,"Root access,Frequent usage,Long password age",Non-Compliant,2023-12-05,Yes,152,Medium,2,"Implement sudo policies,Add session monitoring,Rotate password"
ACC-008,api_service,External-Services,APIAccess,2023-11-15,Low,30,"Regular access patterns,Recent password change",Compliant,2023-12-08,No,33,High,0,"Continue monitoring"
ACC-009,emergency_admin,Break-Glass,WinServerLocal,2023-01-10,Medium,60,"Emergency access,Rarely used,Long password age",Warning,2023-06-20,Yes,340,High,1,"Schedule verification test,Update emergency procedures"
ACC-010,sql_readonly,DB-ReadOnly,SQLServer,2023-10-05,Low,20,"Non-privileged,Limited access,Regular usage",Compliant,2023-12-07,No,73,High,0,"Continue monitoring"
ACC-011,domain_admin,Domain-Controllers,ADAccounts,2023-05-12,Critical,90,"Domain admin privileges,Multiple access locations,Irregular usage patterns",Non-Compliant,2023-11-30,Yes,218,Medium,3,"Implement time-limited access,Enable MFA,Review access events"
ACC-012,dev_sandbox,Development,WinServerLocal,2023-10-30,Low,15,"Non-production environment,Limited network access",Compliant,2023-12-09,No,48,Medium,0,"Continue monitoring"
ACC-013,pci_service,PCI-Systems,UnixSSH,2023-08-15,High,78,"Compliance-critical system,Direct internet exposure",Non-Compliant,2023-11-25,Yes,125,High,2,"Implement access request workflow,Enhance monitoring"
ACC-014,shared_readonly,General-Access,FileServer,2023-11-25,Low,25,"Non-privileged access,Widely used account",Compliant,2023-12-10,No,23,Medium,0,"Consider individual credentials migration plan"
ACC-015,firewall_admin,Security-Devices,FortinetOS,2023-04-22,High,82,"Critical infrastructure access,Infrequent password changes",Non-Compliant,2023-10-15,Yes,228,Medium,2,"Implement change workflow,Rotate credentials,Review access logs"
ACC-016,storage_admin,Storage-Systems,NetAppONTAP,2023-09-10,Medium,55,"Limited privileged operations,Regular usage",Compliant,2023-12-02,Yes,98,High,0,"Continue monitoring,Schedule regular review"
ACC-017,vmware_admin,Virtualization,VMwareESXi,2023-06-05,High,70,"Infrastructure privileges,Multiple concurrent sessions",Warning,2023-11-28,Yes,185,Medium,1,"Implement session limits,Review authentication policy"
ACC-018,test_account,Test-Accounts,WinServerLocal,2023-12-01,Low,10,"Test environment only,No production access",Compliant,2023-12-09,No,17,Medium,0,"Verify isolation from production"
ACC-019,batch_process,Scheduled-Tasks,WinServerLocal,2023-05-30,Medium,50,"Automated process account,Fixed credentials in scripts",Warning,2023-12-08,No,200,Medium,1,"Migrate to secure credential store,Remove hardcoded credentials"
ACC-020,cloud_admin,Cloud-Services,AWSConsole,2023-07-12,High,75,"Cloud admin privileges,Infrequent access review,Cross-region access",Non-Compliant,2023-11-20,Yes,158,High,2,"Implement JIT access,Configure session expiration,Setup alerts for unusual access" 
