AccountID,SafeName,AccountName,PlatformID,Username,Address,RiskScore,RiskLevel,RiskFactors,LastPasswordChange,PasswordLength,PasswordAge,LastAccessed,AccessCount,UniqueUsers,ComplianceStatus,ApplicationName,BusinessUnit,Owner,Environment,Category,ViolatedPolicies,MitigationStatus,RemediationPlan,AssignedTo,DueDate,DiscoveryDate,ReviewDate,AccountStatus,PasswordStatus
AR1001,Infrastructure,WebServer01,WinServerLocal,admin,webserver01.company.com,85,Critical,"Shared account;Never changed;Excessive privileges",Never,12,365+ days,2024-03-25T15:45:23,45,8,NonCompliant,Web Platform,IT,IT Operations,Production,Server,"Password policy;Access policy",In Progress,Implement rotation and review privileges,John Smith,2024-04-05,2024-03-15,2024-03-20,Active,NonCompliant
AR1002,Databases,OracleDB,OracleServer,dbadmin,oracledb.company.com,75,High,"Default credentials;Excessive users",2023-12-10T14:20:00,8,100+ days,2024-03-24T11:20:15,32,5,NonCompliant,Customer Database,IT,Database Team,Production,Database,"Password strength policy",In Progress,Change default password and limit access,Maria Garcia,2024-04-05,2024-03-15,2024-03-20,Active,NonCompliant
AR1003,Cloud,AWSAdmin,AWSAccount,admin,aws-console,65,High,"Long-term privileges;Infrequent use",2023-11-15T10:30:22,16,120+ days,2024-03-15T10:30:22,2,2,NonCompliant,Cloud Infrastructure,IT,Cloud Team,Production,Cloud,"Access frequency policy",Planned,Implement just-in-time access,James Wilson,2024-04-10,2024-03-15,2024-03-20,Active,Warning
AR1004,Infrastructure,DomainAdmin,WinDomainController,administrator,dc01.company.com,80,Critical,"Multiple users;No dual control",2024-02-25T14:25:00,20,30+ days,2024-03-22T14:25:10,18,4,NonCompliant,Active Directory,IT,Identity Team,Production,Directory,"Dual control policy",In Progress,Implement dual control approval,David Roberts,2024-04-05,2024-03-15,2024-03-20,Active,Warning
AR1005,Security,VaultAdmin,CyberArkVault,administrator,vault.company.com,70,High,"Privileged access;Insufficient rotation",2024-01-20T09:10:00,24,60+ days,2024-03-25T09:10:40,15,4,NonCompliant,PAM,IT,Security Team,Production,Security,"Rotation policy",Planned,Increase rotation frequency,Security Team,2024-04-10,2024-03-15,2024-03-20,Active,Warning
AR1006,Databases,SQLServer,MSSQLServer,sa,sqlserver01.company.com,90,Critical,"Default username;Excessive privileges;Infrequent checks",2023-10-05T11:10:00,12,180+ days,2024-03-18T11:10:25,8,3,NonCompliant,Financial System,IT,Database Team,Production,Database,"Password policy;Username policy;Verification policy",In Progress,Change default sa credentials and limit permissions,Emily Clark,2024-04-05,2024-03-15,2024-03-20,Active,NonCompliant
AR1007,Networking,FirewallAdmin,CheckPointFW,admin,firewall.company.com,60,High,"Default username;Multiple access points",2024-02-10T10:15:00,16,45+ days,2024-03-24T10:15:35,10,2,NonCompliant,Network Security,IT,Network Team,Production,Network,"Username policy",Planned,Rename admin account and restrict access methods,Michael Wong,2024-04-15,2024-03-15,2024-03-20,Active,Warning
AR1008,Applications,APIService,WebService,svcaccount,api.company.com,55,Medium,"Service account;Hard-coded credentials",2024-03-10T23:45:12,20,15+ days,2024-03-25T23:45:12,250,1,NonCompliant,Integration Services,IT,Applications Team,Production,API,"Hardcoded credentials policy",Planned,Implement secure credential storage,Thomas Baker,2024-04-20,2024-03-15,2024-03-20,Active,Warning
AR1009,Cloud,AzureAdmin,AzureAccount,admin,azure-portal,70,High,"Default username;Multiple subscriptions",2024-01-15T13:45:00,20,70+ days,2024-03-21T13:45:55,12,3,NonCompliant,Cloud Infrastructure,IT,Cloud Team,Production,Cloud,"Username policy",In Progress,Create dedicated admin accounts per subscription,Amanda White,2024-04-10,2024-03-15,2024-03-20,Active,Warning
AR1010,Applications,SharePointAdmin,SharePointServer,spadmin,sharepoint.company.com,50,Medium,"Multiple site collections;Shared credentials",2024-02-20T15:35:00,16,35+ days,2024-03-23T15:35:40,15,4,NonCompliant,Document Management,IT,Applications Team,Production,Application,"Account sharing policy",Planned,Create unique admin accounts per site collection,Linda Thompson,2024-04-15,2024-03-15,2024-03-20,Active,Compliant
