SafeName,SafeDescription,ManagingCPM,NumberOfVersionsRetention,NumberOfDaysRetention,AutoPurgeEnabled,OLACEnabled,MemberCount,AccountCount,CreationDate,LastModifiedDate,Location,Status,Category,ComplianceStatus,LastVerified
Infrastructure,Infrastructure accounts and services,PasswordManager,5,7,True,True,15,35,2022-01-15T10:30:00,2024-03-15T14:20:00,Primary,Active,Security,Compliant,2024-03-25T08:00:00
Applications,Application accounts and services,PasswordManager,5,7,True,True,20,48,2022-01-20T11:15:00,2024-03-10T15:30:00,Primary,Active,Security,Compliant,2024-03-25T08:05:00
Development,Development and CI/CD accounts,PasswordManager,5,7,True,True,10,29,2022-02-10T09:45:00,2024-02-25T13:45:00,Primary,Active,Security,Compliant,2024-03-25T08:10:00
Production,Production environment accounts,PasswordManager,5,7,True,True,12,56,2022-02-15T10:20:00,2024-03-05T11:30:00,Primary,Active,Security,Compliant,2024-03-25T08:15:00
Monitoring,Monitoring and logging accounts,PasswordManager,5,7,True,True,8,22,2022-03-01T14:30:00,2024-02-20T16:20:00,Primary,Active,Security,Compliant,2024-03-25T08:20:00
Database,Database service accounts,PasswordManager,5,7,True,True,10,42,2022-03-10T15:15:00,2024-03-18T10:45:00,Primary,Active,Security,Compliant,2024-03-25T08:25:00
Web,Web server accounts,PasswordManager,5,7,True,True,8,31,2022-03-20T16:25:00,2024-01-25T12:15:00,Primary,Active,Security,NonCompliant,2024-03-25T08:30:00
Middleware,Middleware service accounts,PasswordManager,5,7,True,True,12,37,2022-04-05T09:30:00,2024-03-12T09:25:00,Primary,Active,Security,Compliant,2024-03-25T08:35:00
Networking,Network device accounts,PasswordManager,5,7,True,True,9,28,2022-04-15T10:45:00,2024-02-28T14:30:00,Primary,Active,Security,Compliant,2024-03-25T08:40:00
Cloud,Cloud service provider accounts,PasswordManager,5,7,True,True,14,45,2022-05-01T11:20:00,2024-03-20T15:40:00,Primary,Active,Security,Compliant,2024-03-25T08:45:00
Disaster-Recovery,DR accounts and services,DR_PasswordManager,5,7,True,True,7,24,2022-05-10T13:30:00,2024-01-15T11:20:00,DR,Active,Security,NonCompliant,2024-03-25T08:50:00
Testing,Testing environment accounts,PasswordManager,3,7,True,True,6,18,2022-06-01T14:15:00,2024-03-08T16:15:00,Primary,Active,Security,Compliant,2024-03-25T08:55:00
Legacy,Legacy system accounts,PasswordManager,5,7,False,False,11,32,2022-06-15T15:30:00,2023-10-10T10:30:00,Primary,Active,Security,NonCompliant,2024-03-25T09:00:00
Privileged,Privileged user accounts,PasswordManager,10,30,True,True,25,60,2022-07-01T10:20:00,2024-03-15T13:45:00,Primary,Active,Security,Compliant,2024-03-25T09:05:00
API-Users,API integration accounts,PasswordManager,5,7,True,True,15,33,2022-07-15T11:45:00,2024-03-10T09:30:00,Primary,Active,Security,Compliant,2024-03-25T09:10:00
Service-Accounts,General service accounts,PasswordManager,5,7,True,True,18,40,2022-08-01T09:20:00,2024-03-05T14:15:00,Primary,Active,Security,Compliant,2024-03-25T09:15:00
Backup,Backup solution accounts,PasswordManager,5,7,True,True,6,15,2022-08-15T10:30:00,2024-02-20T15:45:00,Primary,Active,Security,Compliant,2024-03-25T09:20:00
Security,Security solution accounts,PasswordManager,5,7,True,True,10,25,2022-09-01T14:15:00,2024-03-12T11:30:00,Primary,Active,Security,Compliant,2024-03-25T09:25:00
Temporary,Temporary access accounts,PasswordManager,1,3,True,True,5,12,2022-09-15T15:45:00,2024-03-25T16:20:00,Primary,Active,Security,Compliant,2024-03-25T09:30:00
VendorAccess,Third-party vendor accounts,PasswordManager,5,7,True,True,8,20,2022-10-01T16:20:00,2024-02-15T10:45:00,Primary,Active,Security,Compliant,2024-03-25T09:35:00
Emergency,Break-glass emergency accounts,PasswordManager,10,60,True,True,4,8,2022-10-15T10:30:00,2024-01-10T09:15:00,Primary,Active,Security,NonCompliant,2024-03-25T09:40:00
DomainControllers,Domain controller accounts,PasswordManager,5,7,True,True,6,18,2022-11-01T11:45:00,2024-03-08T14:30:00,Primary,Active,Security,Compliant,2024-03-25T09:45:00
Firewall-Accounts,Firewall and security device accounts,PasswordManager,5,7,True,True,7,22,2022-11-15T13:20:00,2024-02-25T15:10:00,Primary,Active,Security,Compliant,2024-03-25T09:50:00
RemoteAccess,Remote access solution accounts,PasswordManager,5,7,True,True,9,26,2022-12-01T14:30:00,2024-03-01T11:45:00,Primary,Active,Security,Compliant,2024-03-25T09:55:00
SharedAccounts,General shared admin accounts,PasswordManager,5,7,True,True,12,30,2022-12-15T15:45:00,2024-03-20T10:30:00,Primary,Active,Security,Compliant,2024-03-25T10:00:00 
